765050,519500,191500,TQ1950091500,51.609660,-0.27565678
765051,520500,191500,TQ2050091500,51.609448,-0.26122258
765052,521500,191500,TQ2150091500,51.609233,-0.24678855
765053,522500,191500,TQ2250091500,51.609016,-0.23235470
765054,523500,191500,TQ2350091500,51.608798,-0.21792104
765055,524500,191500,TQ2450091500,51.608578,-0.20348756
765056,525500,191500,TQ2550091500,51.608356,-0.18905426
765057,526500,191500,TQ2650091500,51.608133,-0.17462115
765058,527500,191500,TQ2750091500,51.607907,-0.16018822
765059,528500,191500,TQ2850091500,51.607680,-0.14575549
765060,529500,191500,TQ2950091500,51.607451,-0.13132294
765061,530500,191500,TQ3050091500,51.607221,-0.11689058
765062,531500,191500,TQ3150091500,51.606988,-0.10245842
765063,532500,191500,TQ3250091500,51.606754,-0.088026456
765064,533500,191500,TQ3350091500,51.606518,-0.073594685
765065,534500,191500,TQ3450091500,51.606280,-0.059163111
765066,535500,191500,TQ3550091500,51.606041,-0.044731736
765067,536500,191500,TQ3650091500,51.605800,-0.030300562
765068,537500,191500,TQ3750091500,51.605557,-0.015869590
765069,538500,191500,TQ3850091500,51.605312,-0.0014388207
765070,539500,191500,TQ3950091500,51.605065,0.012991743
765071,540500,191500,TQ4050091500,51.604817,0.027422101
765072,541500,191500,TQ4150091500,51.604567,0.041852251
765073,542500,191500,TQ4250091500,51.604315,0.056282192
765074,543500,191500,TQ4350091500,51.604061,0.070711922
765075,544500,191500,TQ4450091500,51.603806,0.085141440
765076,545500,191500,TQ4550091500,51.603548,0.099570744
765077,546500,191500,TQ4650091500,51.603289,0.11399983
765078,547500,191500,TQ4750091500,51.603028,0.12842871
765079,548500,191500,TQ4850091500,51.602766,0.14285736
765080,549500,191500,TQ4950091500,51.602502,0.15728579
765081,550500,191500,TQ5050091500,51.602235,0.17171401
765082,551500,191500,TQ5150091500,51.601968,0.18614200
765083,552500,191500,TQ5250091500,51.601698,0.20056977
765084,553500,191500,TQ5350091500,51.601426,0.21499731
765731,510500,190500,TQ1050090500,51.602509,-0.40588722
765732,511500,190500,TQ1150090500,51.602312,-0.39145432
765733,512500,190500,TQ1250090500,51.602113,-0.37702159
765734,513500,190500,TQ1350090500,51.601913,-0.36258903
765735,514500,190500,TQ1450090500,51.601711,-0.34815663
765736,515500,190500,TQ1550090500,51.601507,-0.33372441
765737,516500,190500,TQ1650090500,51.601301,-0.31929235
765738,517500,190500,TQ1750090500,51.601094,-0.30486047
765739,518500,190500,TQ1850090500,51.600884,-0.29042876
765740,519500,190500,TQ1950090500,51.600673,-0.27599723
765741,520500,190500,TQ2050090500,51.600460,-0.26156587
765742,521500,190500,TQ2150090500,51.600246,-0.24713469
765743,522500,190500,TQ2250090500,51.600029,-0.23270369
765744,523500,190500,TQ2350090500,51.599811,-0.21827287
765745,524500,190500,TQ2450090500,51.599591,-0.20384224
765746,525500,190500,TQ2550090500,51.599370,-0.18941178
765747,526500,190500,TQ2650090500,51.599146,-0.17498152
765748,527500,190500,TQ2750090500,51.598921,-0.16055144
765749,528500,190500,TQ2850090500,51.598694,-0.14612155
765750,529500,190500,TQ2950090500,51.598465,-0.13169185
765751,530500,190500,TQ3050090500,51.598234,-0.11726234
765752,531500,190500,TQ3150090500,51.598002,-0.10283302
765753,532500,190500,TQ3250090500,51.597768,-0.088403901
765754,533500,190500,TQ3350090500,51.597532,-0.073974975
765755,534500,190500,TQ3450090500,51.597294,-0.059546247
765756,535500,190500,TQ3550090500,51.597055,-0.045117717
765757,536500,190500,TQ3650090500,51.596814,-0.030689387
765758,537500,190500,TQ3750090500,51.596571,-0.016261259
765759,538500,190500,TQ3850090500,51.596326,-0.0018333347
765760,539500,190500,TQ3950090500,51.596079,0.012594385
765761,540500,190500,TQ4050090500,51.595831,0.027021899
765762,541500,190500,TQ4150090500,51.595581,0.041449205
765763,542500,190500,TQ4250090500,51.595329,0.055876302
765764,543500,190500,TQ4350090500,51.595076,0.070303188
765765,544500,190500,TQ4450090500,51.594820,0.084729863
765766,545500,190500,TQ4550090500,51.594563,0.099156323
765767,546500,190500,TQ4650090500,51.594304,0.11358257
765768,547500,190500,TQ4750090500,51.594043,0.12800860
765769,548500,190500,TQ4850090500,51.593781,0.14243441
765770,549500,190500,TQ4950090500,51.593517,0.15686000
765771,550500,190500,TQ5050090500,51.593251,0.17128537
765772,551500,190500,TQ5150090500,51.592983,0.18571052
765773,552500,190500,TQ5250090500,51.592713,0.20013545
765774,553500,190500,TQ5350090500,51.592442,0.21456015
766421,510500,189500,TQ1050089500,51.593521,-0.40620187
766422,511500,189500,TQ1150089500,51.593324,-0.39177182
766423,512500,189500,TQ1250089500,51.593126,-0.37734194
766424,513500,189500,TQ1350089500,51.592925,-0.36291222
766425,514500,189500,TQ1450089500,51.592723,-0.34848268
766426,515500,189500,TQ1550089500,51.592519,-0.33405330
766427,516500,189500,TQ1650089500,51.592314,-0.31962409
766428,517500,189500,TQ1750089500,51.592106,-0.30519505
766429,518500,189500,TQ1850089500,51.591897,-0.29076619
766430,519500,189500,TQ1950089500,51.591686,-0.27633750
766431,520500,189500,TQ2050089500,51.591473,-0.26190898
766432,521500,189500,TQ2150089500,51.591259,-0.24748065
766433,522500,189500,TQ2250089500,51.591042,-0.23305250
766434,523500,189500,TQ2350089500,51.590824,-0.21862452
766435,524500,189500,TQ2450089500,51.590604,-0.20419673
766436,525500,189500,TQ2550089500,51.590383,-0.18976913
766437,526500,189500,TQ2650089500,51.590159,-0.17534170
766438,527500,189500,TQ2750089500,51.589934,-0.16091447
766439,528500,189500,TQ2850089500,51.589707,-0.14648742
766440,529500,189500,TQ2950089500,51.589478,-0.13206057
766441,530500,189500,TQ3050089500,51.589248,-0.11763390
766442,531500,189500,TQ3150089500,51.589016,-0.10320743
766443,532500,189500,TQ3250089500,51.588782,-0.088781151
766444,533500,189500,TQ3350089500,51.588546,-0.074355068
766445,534500,189500,TQ3450089500,51.588308,-0.059929183
766446,535500,189500,TQ3550089500,51.588069,-0.045503497
766447,536500,189500,TQ3650089500,51.587828,-0.031078010
766448,537500,189500,TQ3750089500,51.587585,-0.016652726
766449,538500,189500,TQ3850089500,51.587340,-0.0022276441
766450,539500,189500,TQ3950089500,51.587094,0.012197233
766451,540500,189500,TQ4050089500,51.586845,0.026621904
766452,541500,189500,TQ4150089500,51.586595,0.041046368
766453,542500,189500,TQ4250089500,51.586344,0.055470622
766454,543500,189500,TQ4350089500,51.586090,0.069894666
766455,544500,189500,TQ4450089500,51.585835,0.084318498
766456,545500,189500,TQ4550089500,51.585578,0.098742117
766457,546500,189500,TQ4650089500,51.585319,0.11316552
766458,547500,189500,TQ4750089500,51.585058,0.12758871
766459,548500,189500,TQ4850089500,51.584796,0.14201168
766460,549500,189500,TQ4950089500,51.584532,0.15643443
766461,550500,189500,TQ5050089500,51.584266,0.17085696
766462,551500,189500,TQ5150089500,51.583998,0.18527927
766463,552500,189500,TQ5250089500,51.583729,0.19970135
766464,553500,189500,TQ5350089500,51.583457,0.21412321
767111,510500,188500,TQ1050088500,51.584533,-0.40651637
767112,511500,188500,TQ1150088500,51.584337,-0.39208916
767113,512500,188500,TQ1250088500,51.584138,-0.37766212
767114,513500,188500,TQ1350088500,51.583938,-0.36323525
767115,514500,188500,TQ1450088500,51.583736,-0.34880855
767116,515500,188500,TQ1550088500,51.583532,-0.33438201
767117,516500,188500,TQ1650088500,51.583326,-0.31995565
767118,517500,188500,TQ1750088500,51.583119,-0.30552945
767119,518500,188500,TQ1850088500,51.582910,-0.29110343
767120,519500,188500,TQ1950088500,51.582699,-0.27667759
767121,520500,188500,TQ2050088500,51.582486,-0.26225192
767122,521500,188500,TQ2150088500,51.582272,-0.24782643
767123,522500,188500,TQ2250088500,51.582055,-0.23340112
767124,523500,188500,TQ2350088500,51.581837,-0.21897599
767125,524500,188500,TQ2450088500,51.581617,-0.20455104
767126,525500,188500,TQ2550088500,51.581396,-0.19012628
767127,526500,188500,TQ2650088500,51.581173,-0.17570170
767128,527500,188500,TQ2750088500,51.580947,-0.16127731
767129,528500,188500,TQ2850088500,51.580721,-0.14685311
767130,529500,188500,TQ2950088500,51.580492,-0.13242909
767131,530500,188500,TQ3050088500,51.580261,-0.11800527
767132,531500,188500,TQ3150088500,51.580029,-0.10358164
767133,532500,188500,TQ3250088500,51.579795,-0.089158205
767134,533500,188500,TQ3350088500,51.579560,-0.074734964
767135,534500,188500,TQ3450088500,51.579322,-0.060311921
767136,535500,188500,TQ3550088500,51.579083,-0.045889077
767137,536500,188500,TQ3650088500,51.578842,-0.031466432
767138,537500,188500,TQ3750088500,51.578599,-0.017043989
767139,538500,188500,TQ3850088500,51.578354,-0.0026217489
767140,539500,188500,TQ3950088500,51.578108,0.011800287
767141,540500,188500,TQ4050088500,51.577860,0.026222117
767142,541500,188500,TQ4150088500,51.577610,0.040643739
767143,542500,188500,TQ4250088500,51.577358,0.055065153
767144,543500,188500,TQ4350088500,51.577105,0.069486356
767145,544500,188500,TQ4450088500,51.576849,0.083907348
767146,545500,188500,TQ4550088500,51.576592,0.098328126
767147,546500,188500,TQ4650088500,51.576334,0.11274869
767148,547500,188500,TQ4750088500,51.576073,0.12716904
767149,548500,188500,TQ4850088500,51.575811,0.14158917
767150,549500,188500,TQ4950088500,51.575547,0.15600908
767151,550500,188500,TQ5050088500,51.575281,0.17042877
767152,551500,188500,TQ5150088500,51.575013,0.18484824
767153,552500,188500,TQ5250088500,51.574744,0.19926748
767154,553500,188500,TQ5350088500,51.574473,0.21368650
767801,510500,187500,TQ1050087500,51.575545,-0.40683070
767802,511500,187500,TQ1150087500,51.575349,-0.39240634
767803,512500,187500,TQ1250087500,51.575150,-0.37798214
767804,513500,187500,TQ1350087500,51.574950,-0.36355811
767805,514500,187500,TQ1450087500,51.574748,-0.34913425
